order	i	gaussLegendreNodes	gaussLobottoNodes	gaussLegendreWeights	gaussLobottoWeights
2	0	0.1127016654	1.0000000000	0.2777777778	0.1666666667
2	1	0.5000000000	0.5000000000	0.4444444444	0.6666666667
2	2	0.8872983346	0.0000000000	0.2777777778	0.1666666667
3	0	0.0694318442	1.0000000000	0.1739274226	0.0833333333
3	1	0.3300094782	0.7236067977	0.3260725774	0.4166666667
3	2	0.6699905218	0.2763932023	0.3260725774	0.4166666667
3	3	0.9305681558	0.0000000000	0.1739274226	0.0833333333
4	0	0.0469100770	1.0000000000	0.1184634425	0.0500000000
4	1	0.2307653449	0.8273268354	0.2393143352	0.2722222222
4	2	0.5000000000	0.5000000000	0.2844444444	0.3555555556
4	3	0.7692346551	0.1726731646	0.2393143352	0.2722222222
4	4	0.9530899230	0.0000000000	0.1184634425	0.0500000000
5	0	0.0337652429	1.0000000000	0.0856622462	0.0333333333
5	1	0.1693953068	0.8825276620	0.1803807865	0.1892374781
5	2	0.3806904070	0.6426157582	0.2339569673	0.2774291885
5	3	0.6193095930	0.3573842418	0.2339569673	0.2774291885
5	4	0.8306046932	0.1174723380	0.1803807865	0.1892374781
5	5	0.9662347571	0.0000000000	0.0856622462	0.0333333333
6	0	0.0254460438	1.0000000000	0.0647424831	0.0238095238
6	1	0.1292344072	0.9151119481	0.1398526957	0.1384130237
6	2	0.2970774243	0.7344243967	0.1909150253	0.2158726906
6	3	0.5000000000	0.5000000000	0.2089795918	0.2438095238
6	4	0.7029225757	0.2655756033	0.1909150253	0.2158726906
6	5	0.8707655928	0.0848880519	0.1398526957	0.1384130237
6	6	0.9745539562	0.0000000000	0.0647424831	0.0238095238
7	0	0.0198550718	1.0000000000	0.0506142681	0.0178571429
7	1	0.1016667613	0.9358700743	0.1111905172	0.1053521136
7	2	0.2372337950	0.7958500907	0.1568533229	0.1705613462
7	3	0.4082826788	0.6046496090	0.1813418917	0.2062293973
7	4	0.5917173212	0.3953503910	0.1813418917	0.2062293973
7	5	0.7627662050	0.2041499093	0.1568533229	0.1705613462
7	6	0.8983332387	0.0641299257	0.1111905172	0.1053521136
7	7	0.9801449282	0.0000000000	0.0506142681	0.0178571429
